MMDDHH SIN_mg.cm3.h STP_oC SWC SWP_MPa pH
010508 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010509 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010510 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010511 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010512 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010513 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010514 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010515 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010516 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010517 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010518 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010519 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010520 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010521 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010522 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010523 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010524 1.06e-05 3.6905 0.2802 -0.1529818 7.34
010601 1.06e-05 3.668 0.2799 -0.15388925 7.34
010602 1.06e-05 3.668 0.2799 -0.15388925 7.34
010603 1.06e-05 3.668 0.2799 -0.15388925 7.34
010604 1.06e-05 3.668 0.2799 -0.15388925 7.34
010605 1.06e-05 3.668 0.2799 -0.15388925 7.34
010606 1.06e-05 3.668 0.2799 -0.15388925 7.34
010607 1.06e-05 3.668 0.2799 -0.15388925 7.34
010608 1.06e-05 3.668 0.2799 -0.15388925 7.34
010609 1.06e-05 3.668 0.2799 -0.15388925 7.34
010610 1.06e-05 3.668 0.2799 -0.15388925 7.34
010611 1.06e-05 3.668 0.2799 -0.15388925 7.34
010612 1.06e-05 3.668 0.2799 -0.15388925 7.34
010613 1.06e-05 3.668 0.2799 -0.15388925 7.34
010614 1.06e-05 3.668 0.2799 -0.15388925 7.34
010615 1.06e-05 3.668 0.2799 -0.15388925 7.34
010616 1.06e-05 3.668 0.2799 -0.15388925 7.34
010617 1.06e-05 3.668 0.2799 -0.15388925 7.34
010618 1.06e-05 3.668 0.2799 -0.15388925 7.34
010619 1.06e-05 3.668 0.2799 -0.15388925 7.34
010620 1.06e-05 3.668 0.2799 -0.15388925 7.34
010621 1.06e-05 3.668 0.2799 -0.15388925 7.34
010622 1.06e-05 3.668 0.2799 -0.15388925 7.34
010623 1.06e-05 3.668 0.2799 -0.15388925 7.34
010624 1.06e-05 3.668 0.2799 -0.15388925 7.34
010701 1.06e-05 4.173 0.27985 -0.15438675 7.34
010702 1.06e-05 4.173 0.27985 -0.15438675 7.34
010703 1.06e-05 4.173 0.27985 -0.15438675 7.34
010704 1.06e-05 4.173 0.27985 -0.15438675 7.34
010705 1.06e-05 4.173 0.27985 -0.15438675 7.34
010706 1.06e-05 4.173 0.27985 -0.15438675 7.34
010707 1.06e-05 4.173 0.27985 -0.15438675 7.34
